name,url
Kinyeti,https://upload.wikimedia.org/wikipedia/commons/1/17/Sudan_Kinyeti.jpg
Kissama National Park,https://nationalparks-15bc7.kxcdn.com/images/parks/kissama/Kissama%20National%20Park%20large%20baobab%20tree.jpg
Komodo Island,https://www.seal-superyachts.com/wp-content/uploads/2017/05/indonesia-1.jpg
Koninginnedag,https://i.imgur.com/gdOA0k9.jpeg
Kremlin,https://cdn.britannica.com/51/115451-050-3043FB8D/brick-walls-churches-government-Kremlin-buildings-palaces.jpg
Kumbali Cultural Village,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/10/a9/63/getlstd-property-photo.jpg?w=600&h=-1&s=1
Kyoto,https://www.japan-guide.com/thumb/XYZeXYZe2158_1680b.jpg
La Batali de Vino,https://i.imgur.com/gRIbmZq.jpeg
La Grand Place,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg/800px-Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg
La Tomatina,https://i.imgur.com/BaXLj38.jpeg
La Vallée de Ferney,https://upload.wikimedia.org/wikipedia/commons/a/ab/Vall%C3%A9e_de_Ferney_03_by_Line1.JPG
Lake Bled,https://hips.hearstapps.com/hmg-prod/images/lake-bled-in-slovenia-royalty-free-image-1644922973.jpg
Lake Como,https://imageio.forbes.com/specials-images/imageserve/646b6b45d9b20ac15900fd8a/Oleander-flowers-and-villa-Monastero-in-background--lake-Como--Varenna/960x0.jpg?format=jpg&width=960
Lake Kaindy,https://discovery.sndimg.com/content/dam/images/discovery/editorial/podcasts/Curiosity/2020/3/Kaindy_Lake_Shutterstock.jpg.rend.hgtvcom.406.406.suffix/1583694353397.jpeg
Lake Natron,https://img.atlasobscura.com/QaRal3q_iwolM-nXWp-5PHuiwYG5KGjUhvcXeY7S920/rt:fit/w:600/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy8xMTgy/N2E5NjA0MzFjMzg3/ZWVfR2V0dHlJbWFn/ZXMtNzM3OTUyODAu/anBn.jpg
Lake Retba (pink lake),https://www.diariesofmagazine.com/wp-content/uploads/2022/05/web-5D__1397.jpg
Lake Sevan,https://cdn.britannica.com/32/122132-050-2B61B49D/Sevanavank-Monastery-Lake-Sevan-Armenia.jpg
Lantern Festival,https://i.imgur.com/uJqmg0G.jpeg
Le Morne Cultural Landscape,https://th-thumbnailer.cdn-si-edu.com/VD2P2UsUfIvsrKOV_3f2bWkv408=/fit-in/1072x0/https://tf-cmsv2-photocontest-smithsonianmag-prod-approved.s3.amazonaws.com/684507d5-fd56-4fba-a644-67f6ec09ee8f.jpg
Leaning Tower of Pisa,https://images.ctfassets.net/cnu0m8re1exe/1tI0J6fFR4TQAU7YApSjcE/3aedcf058c5f2cd9212b86731541ac3d/shutterstock_745306897.jpg
Learn salsa,https://i.ytimg.com/vi/wXSgWktFRWQ/maxresdefault.jpg
Learn Spanish,https://i.imgur.com/qPMu1l7.jpeg
Learn tango,https://j.gifs.com/vnXd4e.gif
